Partitioner,GrainSize,Time(s),Energy(J)
auto,0,37.6954,6.721.99
auto,1,37.7317,6.727.91
auto,32,37.6845,6.715.01
auto,64,37.7101,6.795.40
auto,128,38.463,6.909.31
auto,256,38.170,6.704.48
auto,512,38.283,6.825.16
auto,1024,38.444,6.787.30
auto,2048,38.4222,6.814.28
auto,4096,38.418,6.864.59
simple,1,38.130,6.668.34
simple,32,38.246,6.806.40
simple,64,38.371,6.846.95
simple,128,38.547,6.852.98
simple,256,38.079,6.707.91
simple,512,38.5555,6.820.29
simple,1024,38.526,6.793.42
simple,2048,38.635,6.952.98
simple,4096,38.6527,6.797.70
static,0,38.369,6.969.05
static,1,38.361,6.843.66
static,32,37.865,6.698.26
static,64,38.171,6.679.49
static,128,38.145,6.809.07
static,256,37.6712,6.716.09
static,512,38.272,6.723.62
static,1024,37.7371,6.711.05
static,2048,38.083,6.813.19
static,4096,37.6906,6.698.20
affinity,0,37.942,6.875.30
affinity,1,37.8184,6.720.08
affinity,32,37.7738,6.758.18
affinity,64,37.7239,6.945.21
