Partitioner,GrainSize,Time(s),Energy(J)
auto,0,37.920,7.205.18
auto,1,37.862,6.957.48
auto,32,37.846,7.071.64
auto,64,38.118,7.018.12
auto,128,38.492,7.236.03
auto,256,38.445,7.040.42
auto,512,38.288,6.838.49
auto,1024,37.912,7.008.67
auto,2048,37.858,7.049.01
auto,4096,38.282,7.085.83
simple,1,37.7303,7.066.36
simple,32,37.7107,7.062.83
simple,64,37.6744,7.062.60
simple,128,37.7250,7.088.09
simple,256,37.7190,7.070.78
simple,512,37.6836,7.099.84
simple,1024,37.7818,7.049.67
simple,2048,37.7567,7.002.03
simple,4096,37.7148,7.046.93
static,0,37.6929,6.958.74
static,1,37.7306,7.065.16
static,32,37.7542,7.088.32
static,64,37.8251,7.108.08
static,128,37.7922,7.092.25
static,256,37.6816,6.838.01
static,512,37.7746,7.059.99
static,1024,37.7701,6.942.57
static,2048,37.7597,7.068.19
static,4096,37.7279,7.057.89
affinity,0,37.911,7.079.48
affinity,1,37.7252,7.038.98
affinity,32,37.7405,6.996.72
affinity,64,37.6909,6.957.52
affinity,128,37.8039,7.089.86
affinity,256,37.7578,6.732.14
affinity,512,37.7389,7.096.56
affinity,1024,37.7786,7.105.50
affinity,2048,37.6871,7.077.91
affinity,4096,37.7429,7.053.23
