Threads,Time(s),Energy(J)
1,38.361,6.699.23
2,37.8558,6.755.61
3,37.919,6.706.08
4,37.7511,6.691.78
5,37.6998,7.049.92
6,37.81003,6.730.71
7,37.6940,6.732.29
8,37.7004,6.716.88
12,37.7112,6.714.68
16,37.7095,6.739.50
20,37.7282,6.709.93
24,37.8020,6.713.92
28,37.6800,6.680.42
32,37.6879,6.687.54
36,37.6572,7.019.55
40,37.6758,6.692.81
44,37.7638,6.739.59
48,37.8032,6.705.27
52,37.7162,6.719.85
56,37.7923,6.688.74
56,37.7680,6.723.27
60,37.7871,6.742.00
64,37.7164,6.702.35
68,37.7274,7.059.89
72,37.6814,6.862.62
76,37.7359,6.749.95
80,37.942,6.717.53
84,37.7170,6.779.78
88,37.7166,7.091.34
92,37.6976,7.018.95
96,37.6847,6.981.00
100,37.6650,6.867.03
104,37.889,7.076.30
108,37.7028,6.925.73
112,37.7048,7.060.75
116,38.027,6.995.06
120,37.7364,6.995.76
124,37.7330,6.877.14
